qp_x,qp_y,qp_z,tissue_id
4.34477068e-02,3.17302346e-03,4.78363829e-03,1
4.76685427e-02,3.17302346e-03,5.93832834e-03,1
5.05508706e-02,3.17302346e-03,6.72684470e-03,1
4.11084928e-02,3.17302346e-03,2.44617439e-03,1
4.39908206e-02,3.17302346e-03,3.23469052e-03,1
4.82116565e-02,3.17302346e-03,4.38938057e-03,1
5.24324924e-02,3.17302346e-03,5.54407062e-03,1
5.53148240e-02,3.17302346e-03,6.33258652e-03,1
1.76280886e-02,6.87499996e-03,4.38938057e-03,1
2.05104165e-02,6.87499996e-03,5.17789647e-03,1
2.47312523e-02,6.87499996e-03,6.33258652e-03,1
2.89520882e-02,6.87499996e-03,7.48727657e-03,1
3.18344198e-02,6.87499996e-03,8.27579293e-03,1
2.23920383e-02,6.87499996e-03,3.99512239e-03,1
2.52743680e-02,6.87499996e-03,4.78363829e-03,1
2.94952039e-02,6.87499996e-03,5.93832834e-03,1
3.37160379e-02,6.87499996e-03,7.09301839e-03,1
3.65983695e-02,6.87499996e-03,7.88153429e-03,1
2.93682907e-02,6.87499996e-03,3.41777736e-03,1
3.22506204e-02,6.87499996e-03,4.20629326e-03,1
3.64714563e-02,6.87499996e-03,5.36098331e-03,1
4.06922922e-02,6.87499996e-03,6.51567336e-03,1
4.35746200e-02,6.87499996e-03,7.30418973e-03,1
3.63445431e-02,6.87499996e-03,2.84043234e-03,1
3.92268710e-02,6.87499996e-03,3.62894847e-03,1
4.34477068e-02,6.87499996e-03,4.78363829e-03,1
4.76685427e-02,6.87499996e-03,5.93832834e-03,1
5.05508706e-02,6.87499996e-03,6.72684470e-03,1
4.11084928e-02,6.87499996e-03,2.44617439e-03,1
4.39908206e-02,6.87499996e-03,3.23469052e-03,1
4.82116565e-02,6.87499996e-03,4.38938057e-03,1
5.24324924e-02,6.87499996e-03,5.54407062e-03,1
5.53148240e-02,6.87499996e-03,6.33258652e-03,1
1.76280886e-02,1.05769765e-02,4.38938057e-03,1
2.05104165e-02,1.05769765e-02,5.17789647e-03,1
2.47312523e-02,1.05769765e-02,6.33258652e-03,1
2.89520882e-02,1.05769765e-02,7.48727657e-03,1
3.18344198e-02,1.05769765e-02,8.27579293e-03,1
2.23920383e-02,1.05769765e-02,3.99512239e-03,1
2.52743680e-02,1.05769765e-02,4.78363829e-03,1
2.94952039e-02,1.05769765e-02,5.93832834e-03,1
3.37160379e-02,1.05769765e-02,7.09301839e-03,1
3.65983695e-02,1.05769765e-02,7.88153429e-03,1
2.93682907e-02,1.05769765e-02,3.41777736e-03,1
3.22506204e-02,1.05769765e-02,4.20629326e-03,1
3.64714563e-02,1.05769765e-02,5.36098331e-03,1
4.06922922e-02,1.05769765e-02,6.51567336e-03,1
4.35746200e-02,1.05769765e-02,7.30418973e-03,1
3.63445431e-02,1.05769765e-02,2.84043234e-03,1
3.92268710e-02,1.05769765e-02,3.62894847e-03,1
